Type,Theme,File,Name,Legend,Values,Color,Labels,Unit,Provenance,Order,Visible,Hidden,Goal
theme,Species at Risk (ECCC),T_ECCC_SAR_Sturnella_magna.tif,Sturnella magna,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_Taxidea_taxus_jacksoni.tif,Taxidea taxus jacksoni,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_Tetraneuris_herbacea.tif,Tetraneuris herbacea,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_Thamnophis_butleri.tif,Thamnophis butleri,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_Thamnophis_sauritus.tif,Thamnophis sauritus,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_Urocyon_cinereoargenteus.tif,Urocyon cinereoargenteus,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Species at Risk (ECCC),T_ECCC_SAR_Vermivora_chrysoptera.tif,Vermivora chrysoptera,manual,"0, 1","#00000000, #fb8072","absence, presence",km2,national,,FALSE,FALSE,0.2
theme,Land Cover,T_LC_Lakes.tif,Lakes,continuous,,Blues,,km2,national,,FALSE,FALSE,0.2
theme,Land Cover (lengths),T_LC_River_length.tif,River length,continuous,,Blues,,km,national,,FALSE,FALSE,0.2
theme,Land Cover (lengths),T_LC_Shoreline_length.tif,Shoreline length,continuous,,YlOrRd,,km,national,,FALSE,FALSE,0.2
theme,Land Cover,T_LC_Wetlands.tif,Wetlands,continuous,,PRGn,,km2,national,,FALSE,FALSE,0.2
weight,,W_Climate_refugia.tif,Climate refugia,continuous,,magma,,index,national,,FALSE,FALSE,
weight,,W_Freshwater.tif,Freshwater,continuous,,plasma,,index,national,,FALSE,FALSE,
weight,,W_Human_disturbance.tif,Human disturbance,continuous,,turbo,,index,national,,FALSE,FALSE,
weight,,W_Key_biodiversity_areas.tif,Key biodiversity areas,manual,"0, 1","#00000000, #d95f02","absence, presence",km2,national,,FALSE,FALSE,
weight,,W_Mean_NDVI.tif,Mean NDVI,continuous,,RdYlGn,,index,regional,,FALSE,FALSE,
