"ECC_SAR","ECC_CH","NSC_END","NSC_SAR","NSC_SPP","IUCN_AMPH","IUCN_BIRD","IUCN_MAMM","IUCN_REPT"
NA,NA,NA,NA,NA,NA,"Loxia_leucoptera_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mareca_americana_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mareca_strepera_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Megaceryle_alcyon_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Megascops_asio_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Melanerpes_erythrocephalus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Meleagris_gallopavo_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Melospiza_georgiana_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Melospiza_lincolnii_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Melospiza_melodia_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Melospiza_melodia_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mergus_merganser_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mergus_serrator_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mergus_serrator_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mimus_polyglottos_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Mniotilta_varia_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Molothrus_ater_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Myiarchus_crinitus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Nannopterum_auritus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Nycticorax_nycticorax_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Oxyura_jamaicensis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Pandion_haliaetus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Parkesia_motacilla_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Parkesia_noveboracensis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Passer_domesticus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Passerculus_sandwichensis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Passerella_arborea_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Passerina_cyanea_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Perdix_perdix_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Petrochelidon_pyrrhonota_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Phasianus_colchicus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Pheucticus_ludovicianus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Pinicola_enucleator_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Pipilo_erythrophthalmus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Plectrophenax_nivalis_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Podiceps_grisegena_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Podilymbus_podiceps_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Poecile_atricapillus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Polioptila_caerulea_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Pooecetes_gramineus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Porzana_carolina_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Progne_subis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Quiscalus_quiscula_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Rallus_limicola_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Regulus_calendula_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Regulus_satrapa_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Regulus_satrapa_3_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Riparia_riparia_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sayornis_phoebe_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Scolopax_minor_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Seiurus_aurocapilla_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_americana_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_caerulescens_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_cerulea_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_coronata_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_fusca_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_magnolia_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_pensylvanica_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_petechia_2_aoh",NA,NA
